Country,ISO_Code,Level,GDLCODE,Region,"Adults 20+","Females 20+","Males 20+","Adults 25+","Females 25+","Males 25+","Adults 20-39","Females 20-39","Males 20-39","Adults 40-59","Females 40-59","Males 40-59","Adults 60+","Females 60+","Males 60+"
"Egypt","EGY","Subnat","EGYr102","Alexandria",10.4,9.91,11.0,10.1,9.52,10.8,11.3,11.4,11.3,10.6,10.2,11.0,8.54,6.51,10.6
"Egypt","EGY","Subnat","EGYr118","Assuit",7.10,6.19,8.00,6.51,5.36,7.65,8.58,8.04,9.15,5.30,3.60,7.15,3.18,2.36,3.90
"Egypt","EGY","Subnat","EGYr121","Aswan",8.76,7.86,9.63,8.45,7.47,9.41,10.2,9.72,10.6,8.22,6.71,9.70,4.97,3.14,6.66
"Egypt","EGY","Subnat","EGYr112","Behera",7.31,6.34,8.26,6.73,5.59,7.81,8.93,8.29,9.56,5.63,4.23,6.91,3.38,1.66,5.14
"Egypt","EGY","Subnat","EGYr115","Beni Suef",7.86,6.80,8.88,7.26,6.07,8.38,9.40,8.71,10.1,6.51,4.73,8.20,2.69,1.54,3.88
"Egypt","EGY","Subnat","EGYr101","Cairo",9.78,9.28,10.3,9.55,9.05,10.1,11.2,11.4,11.1,9.31,8.48,10.3,6.93,5.22,8.31
"Egypt","EGY","Subnat","EGYr106","Dakahlia",8.47,8.14,8.81,8.10,7.72,8.49,10.6,10.9,10.3,7.32,6.03,8.50,3.69,2.11,5.05
"Egypt","EGY","Subnat","EGYr105","Damietta",8.59,8.93,8.23,8.20,8.49,7.90,10.2,10.7,9.56,7.68,7.59,7.74,2.50,1.34,3.44
"Egypt","EGY","Subnat","EGYr116","Fayoum",7.35,6.41,8.31,6.85,5.62,8.01,8.59,7.84,9.44,6.44,4.95,7.58,3.53,2.36,4.83
"Egypt","EGY","Subnat","EGYr122","Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)",9.01,8.42,9.59,8.72,7.96,9.42,10.5,10.4,10.6,8.16,5.76,10.1,1.84,1.56,2.03
"Egypt","EGY","Subnat","EGYr110","Gharbia",8.45,7.77,9.10,8.07,7.25,8.88,10.2,10.3,10.1,7.12,5.79,8.47,4.29,2.35,6.24
"Egypt","EGY","Subnat","EGYr114","Giza",7.88,6.93,8.82,7.53,6.46,8.60,9.09,8.45,9.73,6.81,5.61,7.91,5.53,3.96,7.30
"Egypt","EGY","Subnat","EGYr113","Ismailia",9.22,8.88,9.57,8.92,8.57,9.30,10.3,10.5,10.2,8.91,8.41,9.45,5.80,3.07,8.16
"Egypt","EGY","Subnat","EGYr109","Kafr El-Sheikh",7.61,6.81,8.50,6.99,6.05,8.07,10.1,9.89,10.4,5.95,4.11,7.66,1.17,0.57,2.32
"Egypt","EGY","Subnat","EGYr108","Kalyubia",8.37,7.51,9.17,7.91,6.98,8.82,9.74,9.46,10.0,7.93,6.79,9.19,4.82,2.65,6.64
"Egypt","EGY","Subnat","EGYr111","Menoufia",8.62,7.74,9.40,8.13,7.10,9.03,10.4,10.1,10.6,7.34,6.07,8.60,4.75,2.19,6.81
"Egypt","EGY","Subnat","EGYr117","Menya",7.18,5.64,8.46,6.51,4.98,7.88,8.90,7.57,9.94,5.48,3.73,7.48,3.18,1.23,4.43
"Egypt","EGY","Subnat","EGYr103","Port Said",10.6,10.3,10.9,10.5,10.1,10.8,11.6,11.7,11.5,10.9,10.7,11.1,8.04,6.06,9.71
"Egypt","EGY","Subnat","EGYr120","Qena",7.94,6.80,9.23,7.37,5.97,8.89,10.00,9.33,10.8,6.20,3.74,9.06,1.82,0.83,2.69
"Egypt","EGY","Subnat","EGYr107","Sharkia",8.55,7.70,9.30,8.09,7.16,9.00,10.3,10.3,10.3,7.88,5.98,9.66,3.38,2.31,4.50
"Egypt","EGY","Subnat","EGYr119","Souhag",7.41,6.12,8.70,6.90,5.40,8.37,8.91,7.95,9.84,6.09,4.36,7.80,3.79,2.14,5.63
"Egypt","EGY","Subnat","EGYr104","Suez",10.4,10.4,10.5,10.2,10.1,10.2,11.6,11.7,11.4,10.3,9.92,10.8,5.93,5.01,6.56
